*** Time Test Sorting ***

Length, MergeSort, QuickSort (median of 3), QuickSort (randomized), RadixSort
500000, 129.0, 101.0, 78.0, 133.0
650000, 119.0, 99.0, 100.0, 110.0
845000, 155.0, 132.0, 133.0, 128.0
1098500, 205.0, 174.0, 173.0, 165.0
1428050, 271.0, 232.0, 235.0, 205.0
1856465, 359.0, 309.0, 312.0, 274.0
2413404, 491.0, 403.0, 416.0, 398.0
3137425, 725.0, 539.0, 541.0, 455.0
4078652, 837.0, 712.0, 725.0, 571.0
5302247, 1170.0, 938.0, 958.0, 747.0
6892921, 1448.0, 1238.0, 1272.0, 974.0
8960797, 2004.0, 1651.0, 1666.0, 1244.0
11649036, 2656.0, 2202.0, 2267.0, 1658.0
15143746, 3541.0, 3207.0, 3235.0, 2269.0
19686869, 4570.0, 4015.0, 4317.0, 2977.0
25592929, 6122.0
