*** Time Test Sorting ***

Length, MergeSort, QuickSort (median of 3), QuickSort (randomized), RadixSort
500000, 148.0, 109.0, 79.0, 123.0
650000, 121.0, 97.0, 103.0, 110.0
845000, 186.0, 141.0, 137.0, 133.0
1098500, 221.0, 179.0, 178.0, 176.0
1428050, 285.0, 227.0, 246.0, 218.0
1856465, 375.0, 311.0, 319.0, 303.0
2413404, 514.0, 408.0, 432.0, 365.0
3137425, 671.0, 528.0, 567.0, 501.0
4078652, 876.0, 724.0, 745.0, 614.0
5302247, 1213.0, 936.0, 975.0, 795.0
6892921, 1508.0, 1306.0, 1334.0, 1079.0
8960797, 2146.0, 1691.0, 1761.0, 1471.0
